"Miles, Trent"
"Milhon, Jim"
"Miller, Del"
"Miller, Dennis L."
"Miller, Mason"
"Miller, Paul"
"Miller, Tim"
"Mills, Chuck"
"Mills, Ed J."
"Mills, Jay"
"Mills, Mel"
"Millsapps, Jerry"
"Minter, Mike"
"Minter, Rick"
"Miran, Karl"
"Mitchell, Avante"
"Mitchell, Billy"
"Mitchell, Lyvonia ""Stump"""
"Mitchell, Matt"
"Mitchell, Neal"
"Mitchell, Ron"
"Mitchell, Stanley"
"Mixon, Elmer"
"Moeller, Gary O."
"Moglia, Joe"
"Mohr, Steve"
"Molde, Alan ""Al"""
"Moller, Chuck"
"Moller, Denny"
"Molnar, Charley"
"Mondt, Erv"
"Monfiletto, Chris"
"Monica, Raymond ""Ray"""
"Monken, Jeff"
"Monken, Todd"
"Monos, Jim"
"Montgomery, Don"
"Montgomery, Shane"
"Monz, Mauro"
"Moody, George"
"Mooney, Todd"
"Moore, Darnell"
"Moore, Horace"
"Moore, Jerry"
"Moore, Randy"
"Moore, Tom"
"Moore, Zack"
"Moorhead, Joe"
"Mooshagian, Steve"
"Mora, Jim L."
"Morgan, Dustin"
"Morgan, John"
"Morgan, Karl A."
"Morrell, Chuck"
"Morris, Darrell"
"Morris, Kevin"
"Morrison, Joe"
"Morriss, Guy"
"Morton, Don"
"Mosca, Rich"
"Mouruozis, Nick"
"Mudra, Darrell ""Dan"""
"Mullen, Dan"
"Mullins, Steve"
"Mumford, John"
"Mumme, Hal Clay"
"Mumme, Matt"
"Murdock, Jack"
"Murnyack, Mark"
"Murphy, Ben"
"Murphy, Gene"
"Murphy, Howard"
"Murphy, Jim"
"Murphy, Patrick"
"Murphy, Sean"
"Murphy, Timothy ""Tim"""
"Murray, Dave"
"Murray, Mike"
"Muschamp, Will"
"Mussman, Chris"
"Mynatt, Jerry"
"Mynter, Barry"
"Naber, Brian"
"Narduzzi, Bill"
"Nehlen, Don"
"Nelson, Corky"
"Nelson, Niles"
"Nesbitt, Gregg D."
"Nesbitt, Mike"
"Neuheisel, Rick"
"Nichols, Harold"
"Nichols, Jim"
"Nichols, Paul"
"Nickert, Van"
"Nielson, Bob"
"Niumatalolo, Ken"
"Nix, Buddy"
"Nix, Patrick"
No Coach
"Nocida, Louie"
"Nofri, Mark"
"Noland, Terry"
"Nord, Gary"
"Norman, Kenny C. ""Ken"""
"Northern, Heishma"
"Novak, Joe"
"Nunnely, Wayne"
"Nutt, Houston"
"O'Boyle, Bill"
"O'Brien, Bill"
"O'Brien, Dan"
"O'Brien, Tom"
"O'Cain, Mike"
"O'Connor, Tim"
"O'Hara, John"
"O'Keefe, Ken"
"O'Leary, George"
"Odums, Dawson"
"Oliver, Bill ""Brother"""
"Oliver, Chris"
"Oliver, Reggie"
"Oliver, Scott"
"Olson, Jeff"
"Olszewski, Jerry"
"Opfar, Dave"
"Organ, John"
"Orgeron, Ed"
"Osberg, Jack"
"Osborne, Tom"
"Ostendarp, James E. ""Jim"""
"Ostrowsky, Chris"
"Otolski, Bob"
"Otterbein, Keith"
"Owens, Bob"
"Owens, James"
"Owens, Lee"
"Padron, Danny"
"Pagel, Bob"
"Pajic, Tom"
"Palazzolo, Jim"
"Palermo, John"
"Palmer, Chris"
"Palmisano, Joe"
"Pannunzio, Joe"
"Pappas, John"
"Parady, Jim"
"Pardee, Jack"
"Pardy, Rick"
"Parker, Dennis"
"Parker, Jimmy ""Red"""
"Parker, Scott"
"Parker, Willie J."
"Parkevich, Tom"
"Paronto, James ""Jim"""
"Parrinello, Rich"
"Parrish, Stan"
"Partridge, Jerry"
"Pasqualoni, Paul"
"Patenaude, Dave"
"Paterno, Joe"
"Patterson, Andre"
"Patterson, Don"
"Patterson, Gary"
"Patterson, Keith"
"Patton, Steve"
"Paul, Dean"
"Pawlak, Paul"
"Payne, John"
"Peace, Joe"
"Peach, Mark"
"Peacock, Loren"
"Peacock, Ronnie"
"Pearce, John"
"Peasant, Patrick"
"Peay, Francis"
"Pedersen, Jeff"
"Pees, Dean"
"Pelch, Aaron"
"Pelini, Bo"
"Pelini, Carl"
"Pella, Chris"
"Pendergast, Tim"
"Perella, Joe"
"Pergolizzi, Frank"
"Perkins, Ray"
"Perles, George J."
"Perry, C. Wayne"
"Perry, John"
"Petersen, Chris"
"Peterson, Andy"
"Peterson, Gene"
"Peterson, John (2)"
"Pethtel, Scott"
"Petrino, Bobby ""Bob"""
"Petrino, Paul"
"Petrucci, Jeff"
"Pettibone, Jerry"
"Pettiford, Kenneth ""Ken"""
"Petty, Rayford T. ""Ray"""
"Peveto, Bradley Dale"
"Pfeifer, Jerry"
"Pflugrad, Robin"
"Phelps, Chris"
"Phillips, Joker"
"Picha, John"
"Pickard, Fred"
"Pierce, Jeff"
"Pifer, Dan"
"Pinkel, Gary"
"Pippin, Randy"
"Pittman, Donald"
"Place, Tim"
"Polian, Brian"
"Polizzi, Joe"
"Polk, Nick"
"Pont, John"
"Porter, Douglas ""Doug"""
"Porter, Kevin"
"Porter, Larry"
"Posey, Butch"
"Poss, Bobby"
"Poss, Elliott"
"Potts, Charlie"
"Pough, Oliver ""Buddy"""
"Powers, Don"
"Pravata, Charlie"
"Preston, Carl"
"Price, Gabby"
"Price, Jonathan 'Gabby'"
"Price, Mike"
"Price, Paul"
"Price, Terry"
"Pries, Lonnie"
"Prince, Ron"
"Priore, Chuck"
"Prock, John"
"Protor, Cole"
"Pruett, Bob"
"Pscodna, Greg"
"Pugh, George"
"Pukszyn, Jeff"
"Purtill, Jim"
"Purzycki, Joseph ""Joe"""
"Quarless, Jan"
"Quartaro, Nick"
"Quick, Greg"
"Quinn, Jeff"
"Quinn, Jonathan"
"Quinn, Marty"
"Quinn, Steve"
"Rader, Dave"
"Rader, Mike"
"Radulski, Tom"
"Raeburn, Erik"
"Raetz, Dennis"
"Ragland, Jim"
"Ragsdale, George"
"Ralston, John"
"Ramsey, Jeff"
"Ramsey, Kevin"
"Ramseyer, Bill"
"Ramunno, Joe"
"Randleman, Ron"
"Rankin, Ron"
"Rasmussen, Mike"
"Rasnick, Rick"
"Raymond, Harold R. ""Tubby"""
"Raymond, Mark"
"Read, Don"
"Redwine, Mike"
"Reed, Rod"
"Reed, Thomas ""Tom"""
"Reedy, Chuck"
"Rees, William M. ""Rocky"""
"Reese, James"
"Reho, Gary"
"Reich, Joe"
"Reid, Jim"
"Reid, Tommy"
"Reiners, John"
"Reisbig, Larry"
"Reiser, Kurt"
"Reno, Tony"
"Restic, Joseph"
"Rethman, Tom"
"Rhea, Mark"
"Rhoades, Rick"
"Rhoads, Paul"
"Rhule, Matt"
"Ribaudo, Mark"
"Ricca, Bob"
"Richards, Jeff"
"Richards, Ray"
"Richardson, Dell"
"Richardson, Gregory ""Greg"""
"Richardson, Pete"
"Richmond, Larry"
"Richt, Mark"
"Ricono, Gregg"
"Riley, Don"
"Riley, Kenneth ""Ken"""
"Riley, Mike"
"Rippon, Chris"
"Rison, Mose"
"Ritter, Bobby ""Bob"""
"Rizzi, Darren"
"Roach, Paul"
"Robbins, Nathan"
"Roberts, Dave"
"Roberts, Ron"
"Roberts, Ron D."
"Roberts, Steve"
"Robertson, B.J."
"Robertson, Chris"
"Robertson, Sam"
"Robichaud, Mark"
"Robinson, Eddie G."
"Robinson, Greg"
"Robinson, John (1)"
"Rocco, Danny"
"Rocker, David"
"Rodriguez, Rich"
"Rogers, Tim"
"Rogerson, Ronald ""Ron"""
"Rogish, Tom"
"Rogosheke, Chad"
"Roland, Dennis"
"Roof, Ted"
"Rose, Donovan"
"Rose, Mel"
"Rose, Tim"
"Rosenberg, John"
"Ross, Bobby"
"Ross, David"
"Ross, Mark"
"Ross, Patrick"
"Rossley, Tom"
"Rossomando, Peter"
"Rotellini, Joe"
"Rotsko, Alex"
"Rubly, Trevor"
"Rucks, Tim"
"Rudolph, Paul"
"Ruffin, Reginald"
"Ruggiero, Warren"
"Rundle, Craig"
"Rushing, Andy"
"Rusiewicz, Chris"
"Russell, Erk"
"Russell, Terry"
"Russo, Bill"
"Rutigliano, Sam"
"Ryan, Steve"
"Rzyczycki, Brad"
"Saban, Louis Henry ""Lou"""
"Saban, Nick L."
"Sadler, Charlie"
"Salem, Brad"
"Samko, Bill"
"Samson, Mark"
"Samuel, Tony"
"Sanders, Cory"
"Sanders, Dwone"
"Sanders, Sam"
"Sanderson, Jim"
"Sanford Sr., Mike"
"Sanford, Mike"
"Santiago, Mike"
"Sapenter, Hensley"
"Sarkisian, Steve"
"Satterfield, Jimmy"
"Satterfield, Scott"
"Saulnier, Steve"
"Sauter, Cory"
"Sawyer, Tom"
"Scafe, Regis"
"Scalercio, Frank"
"Scales, Dwight"
"Scelfo, Chris"
"Scesniak, Dick"
"Schaetzle, Marty"
"Schaum, Jeff"
"Scheier, Adam"
"Schembechler, Glenn ""Bo"""
"Scherer, Rip"
"Schiano, Greg"
"Schlieve, Derek"
"Schmidt, Pete"
"Schmitt, Jerry"
"Schmitz, Bill"
"Schneider, Steve"
"Schnellenberger, Howard"
"Schomaker, Robbie"
"Schoolfield, Kent"
"Schrader, Randy"
"Schroeder, David"
"Schudel, Paul"
"Schulz, Myron"
"Schurig, Craig"
"Schwenk, Fran"
"Scissum, Willard Sebastian"
"Scott, Brad"
"Scott, Kelly"
"Scott, Latrell"
"Scott, Roger"
"Scovil, Doug"
"Seagraves, Al"
"Sears, Jody"
"Second, Marty"
"Semones, Doug"
"Setencich, Lyle"
"Sewak, Mike"
"Shafer, Rod"
"Shafer, Scott"
"Shaffner, Paul"
"Shank, Larry"
"Shannon, Randy"
"Shaw, David"
"Shea, Terry"
"Shea, Tom (2)"
"Shealy, Dal"
"Shealy, Vic"
"Sheehan, Brian"
"Shehl, George"
"Shelton, Chuck"
"Shepas, Rick"
"Sheppard, Mike"
"Sheptock, Frank"
"Sheridan, Dick"
"Sherman, Cliff"
"Sherman, Mike"
"Sherrill, Jackie"
"Shinnick, Peter ""Pete"""
"Shiver, Sanders"
"Shoop, Bob"
"Shuck, Jim"
"Shula, Mike"
"Shuler, Craig"
"Siedlecki, Jack"
"Simmons, Bob"
"Simon, Matt"
"Simonson, Ron"
"Simpson, Jason"
"Simrell, Dan"
"Sims, Jim"
"Sinagra, Vince"
"Sirianni, Mike"
"Sisco, Lloyd"
"Skanes, Shepherd"
"Skelton, Don"
"Skotnicki, Curt"
"Slater, Willie J."
"Sloan, Steve"
"Slocum, R.C."
"Small, George M."
"Small, Hank"
"Small, Horace T."
"Smith, Bob"
"Smith, Brad"
"Smith, Brian"
"Smith, Chris"
"Smith, Donald"
"Smith, Hampton"
"Smith, John L."
"Smith, Joseph ""Joe"""
"Smith, Larry"
"Smith, Michael ""Mike"""
"Smith, Myron"
"Smith, Rob"
"Snell, John"
"Snider, Jimmy"
"Snyder, Bill"
"Snyder, Bruce"
"Snyder, Chris"
"Snyder, Mark"
"Sobolewski, Gene"
"Sochor, Jim"
"Sokol, Jeff"
"Solich, Frank"
"Solomonson, Earle"
"Souers, Jerome"
"Spack, Brock"
"Spangler, Tommy"
"Sparano, Tony"
"Sparks, Ken"
"Spaziani, Frank"
"Spears, Melvin"
"Speckman, Mark"
"Speir, Mark"
"Spencer, William M."
"Sperbeck, Marshall"
"Spoo, Bob"
"Springston, Mike"
"Spurrier, Steve"
"Srnka, Scott"
"Staker, Steve"
"Stalcup, Archie"
"Stallings, Gene"
"Stassen, Shannon"
"Stearns, Howard"
"Steckel, Dave"
"Steele, Dale"
"Steele, Gary"
"Steele, Kevin"
"Steele, Ron"
"Steelman, Harold"
"Stephens, Ken"
"Sterbick, Pete"
"Stern, Craig"
"Stetson, Stephen ""Steve"""
"Stewart, Bill"
"Stiegelmeier, John"
"Stitt, Bob"
"Stobart, Charles R. ""Chuck"""
"Stockstill, Rick"
"Stoker, Scott"
"Stokley, Nelson"
"Stolz, Dennis E. ""Denny"""
"Stone, Morris"
"Stoops, Bob"
"Stoops, Mark"
"Stoops, Mike"
"Stout, Pete"
Stoutland Jeff
"Stowers, Tim"
"Strader, Dr. Bob"
"Strahm, Dale"
"Strasheim, Curt"
"Stratton, Todd"
"Streeter, Barry"
"Streeter, Wade"
"Stripling, Steve"
"Strittmatter, Dick"
"Strock, Don"
"Strong, Charlie"
"Strong, Jim"
"Stroud, Todd"
"Struble, Bill"
"Stubbs, Charlie"
"Stuckey, Ron"
"Stugart, Jed"
"Stull, Bob"
"Suber, Donnie"
"Sugg, Tommy"
"Sulages, Chris"
"Sullivan, Daniel ""Dan"""
"Sullivan, Gerry"
"Sullivan, Mike"
"Sullivan, Pat"
"Sumlin, Kevin"
"Sunseri, Sal"
"Surace, Bob"
"Surace, Brian"
"Surface, Dan"
"Susan, Joe"
"Sutton, Bob"
"Svoboda, Jim"
"Swank, Bob"
"Swanton, David"
"Sweeney, Edward ""Ed"""
"Sweeney, Jim"
"Sweeney, Kyle"
"Swepson, Jason"
"Swider, Mike"
"Swinney, Dabo"
"Swisher, Joel"
"Switzer, Barry"
"Synold, Jack"
"Sypult, Jim"
"Szabo, Steve"
"Taaffe, Charlie"
"Taggart, Willie"
"Talley, Andrew J. ""Andy"""
"Talley, Kirk"
"Talley, Robert"
"Tate, Tommy"
"Tatum, Bart"
"Tavani, Frank"
"Taylor, Joe"
"Taylor, Lionel"
"Taylor, Mike"
"Taynor, David"
"Teaff, Grant"
"Tedford, Jeff"
"Teevens, Eugene ""Buddy"""
"Tellier, Ray"
"Tenuta, Jon"
"Tenyer, Rob"
"Tepper, Lou"
"Tesch, Jeff"
"Therrell, Dennis"
"Thomas, Dennis"
"Thomas, Jay"
"Thomas, Jeff"
"Thomas, Jesse (2)"
"Thomas, Johnny"
"Thomas, Perry"
"Thomas, Roger"
"Thomas, William ""Bill"""
"Thompson, Greg"
"Thompson, John"
"Thomsen, Chris"
"Thorne, John"
"Thrasher, Joseph ""Joe"""
"Thurmond, Chris"
"Tillar, Waverly"
"Tiller, Joe"
"Tinsley, Scott"
"Tisdel, Jeff"
"Toledo, Bob"
"Tollner, Ted"
"Tomeo, Damon"
"Tomey, Dick"
"Toop, Mike"
"Torbush, Carl"
"Tormey, Chris"
"Tosches, Steve"
"Totten, Willie ""Satellite"""
"Trainer, Joe"
"Tranquill, Gary"
"Treadwell, Don"
"Tressel, Jim"
"Tribble, Randy"
"Trickett, Rick"
"Triplett, Dave"
"Triplett, Lee Henry"
"Trogdon, Duane"
"Troth, Paul"
"Troxell, John"
"Truman, Tim"
"Tuberville, Tommy"
"Tucker, Delano"
"Tuiasosopo, Marques"
"Tully, John"
"Tumey, Don"
"Turk, Mike"
"Turner, Don"
"Turner, Ken"
"Turner, Ron"
"Tutein, O'Neal"
"Tyree, John"
"Underwood, Dan"
"Underwood, Scott"
Unknown
"Uzelac, Elliot"
"Vaas, Peter"
"Valesente, Bob"
"Van Diest, Mike"
"Vandergriff, Jerry"
"Vanderlinden, Ron"
"VanGorder, Brian"
"Veidt, Tyson"
"Verdugo, Kevin"
"Viator, Matt"
"Villarrial, Chris"
"Vincent, Frank"
"Vincent, John"
"Vlcko, Aaron"
"Volek, John"
"vonAppen, Fred"
"Voris, Jeff"
"Vosburgh, Paul"
"Wable, Kenneth E. ""Ken"""
"Wacker, Jim"
"Waddle, Andy"
"Wagner, Bob"
"Wagner, Dennis"
"Wagner, Will"
"Waialae, Roger"
"Walden, Jim"
"Walker, Curtis"
"Walker, DeWayne"
"Walker, James"
"Walker, Matt"
"Walker, Ordell"
"Walker, Randy"
"Walkosky, David"
"Wallace, Bobby"
"Wallace, Versie"
"Wallace, Vic"
"Walsh, Bill"
"Walsh, Mark"
"Walsh, Tim"
"Walsh, Tom"
"Walton, Joe"
"Walton, Johnnie"
"Wannstedt, Dave"
"Ward, Jim"
"Ware, John"
"Warmack, Dave"
"Wasem, Bruce W."
"Washington, Otis"
"Waters, Bob"
"Watson, Shawn"
"Watts, Morris"
"Watts, Tom"
"Waugh, Maury"
"Weatherbie, Charlie"
"Webster, James"
"Weis, Charlie"
"Weiss, Bob"
"Weist, T.J."
"Welch, Jack"
"Welch, Mike"
"Wells, J.B."
"Wells, Matt"
"Wells, Robert ""Robby"""
"Welsh, George"
"Welsh, Larry"
"Welty, John"
"West, Al"
"West, Lou"
"West, Tommy"
"Westering, Forrest ""Frosty"""
"Westering, Scott"
"Weston, Kevin"
"Whalen, Mike"
"Wherritt, Kirk"
"Whipple, Mark"
"White, Donny"
"White, James ""Mike"""
"White, Mike"
"White, Vincent"
"Whitehead, John"
"Whitten, Todd"
"Whittingham, Kyle"
"Whittington, C.L."
"Widenhofer, Woody"
"Wiemers, Dave"
"Wiese, Curt"
"Wilcox, Larry"
"Wilder, Bobby"
"Wilkerson, Chris"
"Wilkins, Art"
"Wilks, Steve"
"Williams, A.L."
"Williams, Bobby"
"Williams, Chuck"
"Williams, Daryl"
"Williams, Douglas ""Doug"""
"Williams, Mike"
"Williams, Ryan"
"Williams, Tom"
"Williams, Vincent"
"Williamson, Eddie"
"Williamson, Jared"
"Willingham, Tyrone ""Ty"""
"Willis, Rick"
"Willis, Zak"
"Wilson III, Earnest"
"Wilson, Al"
"Wilson, Barry"
"Wilson, Damon"
"Wilson, Kevin"
"Wilson, Norries"
"Wilson, Steve"
"Windham, John"
"Winston, Dennis ""Dirt"""
"Winter, Vance"
"Winters, Paul"
"Withers, Everett"
"Wolf, Lloyd Spotted"
"Wolfe, Robert ""Bob"""
"Wolford, Eric"
"Wood, Alex"
"Wood, Sherman"
"Woodard, Ray"
"Woodley, Mike"
"Woodman, Jason"
"Woodruff, Jeff"
"Woods, Chris"
"Woods, Sparky"
"Woody, James"
"Wright, Brad"
"Wright, Brian"
"Wright, John K."
"Wristen, John"
"Wulff, Paul"
"Wyatt Sr., Alvin B."
"Wyche, Edmund ""Ed"""
"Yeager, Mike"
"Yeoman, Bill"
"Yetten, Peter"
"Yoder, Scott"
"Young, Bill (2)"
"Young, Bruce"
"Young, Donzell"
"Young, Eric"
"Young, Jim"
"Youngblood, Greg"
"Yukica, Joseph ""Joe"""
"Yung, Bill"
"Zaloom, Ed"
"Zamberlin, John"
"Zaunbrecher, Ed"
"Zechman, Fred"
"Zernhelt, John"
"Zook, Ron"
"Zorbo, Jamie"
"Zornes, Dick"
"Zubrow, Ed"
"Zwaan, Bill"
"Zweifel, Stan"
